In Operation Slew C
,A,,,B,,,C,,,D,,
Load Direction,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
0,6,-59,-1263,8,2,-442,21,2,1627,-34,-14,1965
45,15,-47,-953,9,4,-380,-10,8,2043,-62,-13,1177
90,28,-14,-231,11,6,-134,-40,17,1846,-66,-8,405
135,34,22,480,14,7,152,-48,22,1152,-48,-3,103
180,33,39,763,14,7,311,-30,22,367,-17,-0,446
225,26,28,452,10,5,249,-1,16,-49,13,-1,1234
270,16,-5,-269,6,3,3,23,8,148,23,-6,2005
315,7,-41,-980,5,2,-283,33,2,842,3,-11,2308

In Operation Slew CC
,A,,,B,,,C,,,D,,
Load Direction,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
0,-40,-39,-1263,-7,-7,-442,60,-23,1626,-13,1,1966
45,-30,-28,-953,-6,-5,-381,29,-17,2043,-41,2,1178
90,-16,6,-231,-5,-3,-135,-3,-9,1847,-44,6,406
135,-8,42,479,-4,-2,152,-11,-3,1153,-25,11,103
180,-10,59,763,-3,-2,311,6,-3,368,7,14,446
225,-18,48,453,-6,-4,249,36,-9,-49,36,13,1234
270,-29,14,-269,-10,-6,3,62,-18,148,45,9,2005
315,-39,-21,-979,-9,-7,-283,72,-23,841,24,4,2308

Out of Operation
,A,,,B,,,C,,,D,,
Load Direction,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz,Fx,Fy,Fz
0,-69,-199,-1495,1,-10,-529,94,-40,1732,-25,-27,2092
45,-28,-154,-1109,4,-4,-452,-32,-15,2251,-140,-23,1112
90,25,-18,-209,10,5,-145,-130,18,2005,-181,-6,150
135,50,129,676,24,11,212,-134,40,1141,-136,16,-227
180,43,200,1028,26,10,409,-48,38,163,-21,28,200
225,16,154,642,8,4,332,66,14,-354,106,24,1182
270,-26,18,-257,-9,-5,26,150,-19,-110,161,6,2141
315,-66,-129,-1142,-8,-11,-331,166,-42,755,103,-15,2520
