"Node","Case","FX","FY","FZ","MX","MY","MZ"
1,100,-0.22098,0.82067,1065.0,0,0,0
2,100,-1.6951,-0.94758,1067.5,0,0,0
3,100,0.62208,0.52552,-326.73,0,0,0
4,100,0.60600,0.94037E-01,-326.73,0,0,0
5,100,0.29743,0.98948E-01,-156.42,0,0,0
6,100,0.29374,-0.32878,-156.42,0,0,0
7,100,0.23733,46.471,71.726,-0.16633E-02,0,0
8,100,-0.50790,41.934,74.490,-0.23433E-02,0,0
9,100,0.86379,-57.999,-99.615,-0.25450E-02,0,0
10,100,-0.49641,-62.669,-96.761,-0.15985E-02,0,0
1,101,-0.28349E-02,0.15251,296.70,0,0,0
2,101,-24.600,-0.72666,1372.9,0,0,0
3,101,-0.53660E-01,0.10831,52.602,0,0,0
4,101,-0.54072E-01,-0.16446,52.602,0,0,0
5,101,0.34274,-0.16430E-01,-310.68,0,0,0
6,101,0.32820,-0.28544,-310.68,0,0,0
7,101,0.26063,43.139,68.505,-0.45290E-03,0,0
8,101,-0.40837,40.651,70.022,-0.80630E-03,0,0
9,101,0.62697,-52.156,-87.707,-0.88393E-03,0,0
10,101,-0.43952,-54.703,-86.152,-0.42700E-03,0,0
1,102,-0.77070E-01,-0.27055,-483.14,0,0,0
2,102,-31.542,-0.26801,1034.2,0,0,0
3,102,-0.28050,-0.14648E-01,431.34,0,0,0
4,102,-0.30845,-0.22527,431.34,0,0,0
5,102,0.10642,0.24798E-01,-150.80,0,0,0
6,102,0.10299,-0.18489,-150.80,0,0,0
7,102,0.35936,47.409,76.267,-0.14242E-03,0,0
8,102,-0.46406,45.643,77.344,-0.42076E-03,0,0
9,102,0.44715,-45.232,-75.348,-0.40097E-03,0,0
10,102,-0.34414,-46.880,-74.342,-0.14632E-03,0,0
1,103,-0.16976,-0.71238,-818.75,0,0,0
2,103,-22.326,-0.51192E-01,254.77,0,0,0
3,103,-0.50341,-0.90071E-02,589.95,0,0,0
4,103,-0.55570,-0.28652,589.95,0,0,0
5,103,-0.19986,0.32534,229.65,0,0,0
6,103,-0.20777,0.45437E-01,229.65,0,0,0
7,103,0.48645,56.023,89.268,-0.32656E-03,0,0
8,103,-0.64788,53.275,90.945,-0.83491E-03,0,0
9,103,0.39532,-41.080,-69.404,-0.70204E-03,0,0
10,103,-0.27109,-43.530,-67.906,-0.35436E-03,0,0
1,104,-0.48107E-01,-0.66906,-509.86,0,0,0
